Pcode,ProductID,標準型證券股數
CA,1303,2000
CB,2002,2000
CC,2303,2000
CD,2330,2000
CE,2881,2000
CF,1301,2000
CG,2324,2000
CH,2409,2000
CJ,2880,2000
CK,2882,2000
CL,2886,2000
CM,2887,2000
CN,2891,2000
CQ,1216,2000
CR,1402,2000
CS,1605,2000
CU,2323,2000
CW,2352,2000
CX,2371,2000
CY,2408,2000
CZ,2603,2000
DA,2609,2000
DB,2610,2000
DC,2801,2000
DD,2888,2000
DE,2890,2000
DF,1101,2000
DG,1326,2000
DH,2317,2000
DI,2337,2000
DJ,2357,2000
DK,2382,2000
DL,2412,2000
DN,2884,2000
DO,2885,2000
DP,2892,2000
DQ,3481,2000
DS,2353,2000
DV,2454,2000
DW,2915,2000
DX,3231,2000
DY,1102,2000
DZ,1210,2000
EE,1312,2000
EG,1314,2000
EH,1319,2000
EK,1440,2000
EM,1504,2000
EP,1590,2000
EY,1718,2000
EZ,1722,2000
FC,2014,2000
FE,2027,2000
FF,2049,2000
FG,2059,2000
FK,2105,2000
FN,2201,2000
FQ,2301,2000
FR,2308,2000
FT,2313,2000
FV,2331,2000
FW,2332,2000
FY,2340,2000
FZ,2344,2000
GA,2347,2000
GC,2354,2000
GH,2376,2000
GI,2377,2000
GJ,2379,2000
GL,2392,2000
GM,2393,2000
GN,2401,2000
GO,2404,2000
GR,2449,2000
GU,2455,2000
GW,2458,2000
GX,2474,2000
GY,2481,2000
GZ,2485,2000
HA,2489,2000
HB,2492,2000
HC,2498,2000
HH,2515,2000
HI,2520,2000
HL,2542,2000
HO,2548,2000
HQ,2605,2000
HS,2618,2000
IA,2834,2000
IH,2913,2000
II,3006,2000
IJ,3008,2000
IM,3019,2000
IO,3034,2000
IP,3035,2000
IQ,3036,2000
IR,3037,2000
IT,3042,2000
IX,3189,2000
IY,3376,2000
IZ,3380,2000
JB,3443,2000
JF,3533,2000
JM,3653,2000
JN,3673,2000
JP,3702,2000
JS,4938,2000
JW,5534,2000
JZ,6153,2000
KA,6176,2000
KB,6213,2000
KC,6239,2000
KD,6271,2000
KE,6278,2000
KF,6282,2000
KG,6285,2000
KI,8039,2000
KK,8163,2000
KL,9904,2000
KO,9939,2000
KP,9945,2000
KS,1477,2000
KW,2328,2000
LB,3044,2000
LC,3045,2000
LE,3406,2000
LI,6269,2000
LM,9914,2000
LO,5880,2000
LQ,2356,2000
LR,2883,2000
LT,4904,2000
LU,4958,2000
LV,5871,2000
LW,1476,2000
LX,2327,2000
LY,8046,2000
MA,1707,2000
MB,2355,2000
MJ,2360,2000
MK,2439,2000
MQ,6257,2000
MV,9938,2000
MY,1565,2000
NB,3152,2000
NC,3211,2000
ND,3260,2000
NE,3264,2000
NG,3691,2000
NI,4123,2000
NJ,5009,2000
NL,5347,2000
NM,5371,2000
NO,5483,2000
NQ,6121,2000
NS,6147,2000
NU,8044,2000
NV,8069,2000
NW,8299,2000
NY,50,10000
NZ,61,10000
OA,6205,10000
OB,6206,10000
OC,6207,10000
OD,2231,2000
OE,6116,2000
OH,6279,2000
OJ,636,10000
OK,639,10000
OL,3008,100
OM,1565,100
OO,643,10000
OP,2345,2000
OQ,6414,2000
OR,1536,2000
OS,1909,2000
OT,3081,2000
OU,3552,2000
OV,6274,2000
OW,6488,2000
OX,6510,2000
OY,6510,100
OZ,3711,2000
PA,3227,2000
PB,6488,100
PC,4162,2000
PD,4736,2000
PE,5425,2000
PF,56,10000
PG,2633,2000
PH,5269,2000
PI,3529,2000
PJ,2383,2000
PK,6173,2000
PL,6182,2000
PM,8436,2000
PN,5269,100
PO,6462,2000
PP,5457,2000
PQ,8358,2000
PR,8086,2000
PS,3706,2000
PT,3324,2000
PU,2454,100
PV,6669,2000
PW,6669,100
PX,3293,2000
PY,3293,100
PZ,5274,2000
QA,5274,100
QB,3714,2000
QC,2606,2000
QD,3532,2000
QE,2327,100
QF,2330,100
QG,2379,100
QH,3034,100
QI,3105,100
QJ,3406,100
QK,1907,2000
QL,3374,2000
QM,2049,100
QN,8299,100
QO,1717,2000
KU,1802,2000
QP,1904,2000
FB,2006,2000
QQ,3078,2000
QR,2357,100
QS,8046,100
QT,2441,2000
QU,8150,2000
QV,2338,2000
QW,2388,2000
QX,2615,2000
QY,6547,2000
QZ,6770,2000
RA,3017,2000
RB,5388,2000
RC,2634,2000
RD,4128,2000
RE,4919,2000
RF,3533,100
RG,3653,100
RI,878,10000
RJ,1609,2000
RK,2368,2000
RL,6443,2000
RM,8454,2000
RN,4743,2000
RO,6245,2000
RP,5904,2000
RQ,8454,100
RR,5904,100
RS,3529,100
